Age	Sex	Cancer_ICD9	Organ	Gene	Years_5int	Cases_5int	Version	air
25	BOTH	151	Stomach	MLH1	889	0	V1_20180106	0
26	BOTH	151	Stomach	MLH1	889	0	V1_20180106	0
27	BOTH	151	Stomach	MLH1	889	0	V1_20180106	0
28	BOTH	151	Stomach	MLH1	889	0	V1_20180106	0
29	BOTH	151	Stomach	MLH1	889	0	V1_20180106	0
30	BOTH	151	Stomach	MLH1	1328	0	V1_20180106	0
31	BOTH	151	Stomach	MLH1	1328	0	V1_20180106	0
32	BOTH	151	Stomach	MLH1	1328	0	V1_20180106	0
33	BOTH	151	Stomach	MLH1	1328	0	V1_20180106	0
34	BOTH	151	Stomach	MLH1	1328	0	V1_20180106	0
35	BOTH	151	Stomach	MLH1	1634	1	V1_20180106	0.000611995104039168
36	BOTH	151	Stomach	MLH1	1634	1	V1_20180106	0.000611995104039168
37	BOTH	151	Stomach	MLH1	1634	1	V1_20180106	0.000611995104039168
38	BOTH	151	Stomach	MLH1	1634	1	V1_20180106	0.000611995104039168
39	BOTH	151	Stomach	MLH1	1634	1	V1_20180106	0.000611995104039168
40	BOTH	151	Stomach	MLH1	1959	2	V1_20180106	0.00102092904543134
41	BOTH	151	Stomach	MLH1	1959	2	V1_20180106	0.00102092904543134
42	BOTH	151	Stomach	MLH1	1959	2	V1_20180106	0.00102092904543134
43	BOTH	151	Stomach	MLH1	1959	2	V1_20180106	0.00102092904543134
44	BOTH	151	Stomach	MLH1	1959	2	V1_20180106	0.00102092904543134
45	BOTH	151	Stomach	MLH1	1913	0	V1_20180106	0
46	BOTH	151	Stomach	MLH1	1913	0	V1_20180106	0
47	BOTH	151	Stomach	MLH1	1913	0	V1_20180106	0
48	BOTH	151	Stomach	MLH1	1913	0	V1_20180106	0
49	BOTH	151	Stomach	MLH1	1913	0	V1_20180106	0
50	BOTH	151	Stomach	MLH1	1732	3	V1_20180106	0.00173210161662818
51	BOTH	151	Stomach	MLH1	1732	3	V1_20180106	0.00173210161662818
52	BOTH	151	Stomach	MLH1	1732	3	V1_20180106	0.00173210161662818
53	BOTH	151	Stomach	MLH1	1732	3	V1_20180106	0.00173210161662818
54	BOTH	151	Stomach	MLH1	1732	3	V1_20180106	0.00173210161662818
55	BOTH	151	Stomach	MLH1	1364	2	V1_20180106	0.00146627565982405
56	BOTH	151	Stomach	MLH1	1364	2	V1_20180106	0.00146627565982405
57	BOTH	151	Stomach	MLH1	1364	2	V1_20180106	0.00146627565982405
58	BOTH	151	Stomach	MLH1	1364	2	V1_20180106	0.00146627565982405
59	BOTH	151	Stomach	MLH1	1364	2	V1_20180106	0.00146627565982405
60	BOTH	151	Stomach	MLH1	1056	3	V1_20180106	0.00284090909090909
61	BOTH	151	Stomach	MLH1	1056	3	V1_20180106	0.00284090909090909
62	BOTH	151	Stomach	MLH1	1056	3	V1_20180106	0.00284090909090909
63	BOTH	151	Stomach	MLH1	1056	3	V1_20180106	0.00284090909090909
64	BOTH	151	Stomach	MLH1	1056	3	V1_20180106	0.00284090909090909
65	BOTH	151	Stomach	MLH1	739	4	V1_20180106	0.0054127198917456
66	BOTH	151	Stomach	MLH1	739	4	V1_20180106	0.0054127198917456
67	BOTH	151	Stomach	MLH1	739	4	V1_20180106	0.0054127198917456
68	BOTH	151	Stomach	MLH1	739	4	V1_20180106	0.0054127198917456
69	BOTH	151	Stomach	MLH1	739	4	V1_20180106	0.0054127198917456
70	BOTH	151	Stomach	MLH1	477	1	V1_20180106	0.00209643605870021
71	BOTH	151	Stomach	MLH1	477	1	V1_20180106	0.00209643605870021
72	BOTH	151	Stomach	MLH1	477	1	V1_20180106	0.00209643605870021
73	BOTH	151	Stomach	MLH1	477	1	V1_20180106	0.00209643605870021
74	BOTH	151	Stomach	MLH1	477	1	V1_20180106	0.00209643605870021
75	BOTH	151	Stomach	MLH1	254	0	V1_20180106	0
76	BOTH	151	Stomach	MLH1	254	0	V1_20180106	0
77	BOTH	151	Stomach	MLH1	254	0	V1_20180106	0
78	BOTH	151	Stomach	MLH1	254	0	V1_20180106	0
79	BOTH	151	Stomach	MLH1	254	0	V1_20180106	0
80	BOTH	151	Stomach	MLH1	254	0	V1_20180106	0
25	BOTH	151	Stomach	MSH2	464	0	V1_20180106	0
26	BOTH	151	Stomach	MSH2	464	0	V1_20180106	0
27	BOTH	151	Stomach	MSH2	464	0	V1_20180106	0
28	BOTH	151	Stomach	MSH2	464	0	V1_20180106	0
29	BOTH	151	Stomach	MSH2	464	0	V1_20180106	0
30	BOTH	151	Stomach	MSH2	693	0	V1_20180106	0
31	BOTH	151	Stomach	MSH2	693	0	V1_20180106	0
32	BOTH	151	Stomach	MSH2	693	0	V1_20180106	0
33	BOTH	151	Stomach	MSH2	693	0	V1_20180106	0
34	BOTH	151	Stomach	MSH2	693	0	V1_20180106	0
35	BOTH	151	Stomach	MSH2	851	0	V1_20180106	0
36	BOTH	151	Stomach	MSH2	851	0	V1_20180106	0
37	BOTH	151	Stomach	MSH2	851	0	V1_20180106	0
38	BOTH	151	Stomach	MSH2	851	0	V1_20180106	0
39	BOTH	151	Stomach	MSH2	851	0	V1_20180106	0
40	BOTH	151	Stomach	MSH2	1038	0	V1_20180106	0
41	BOTH	151	Stomach	MSH2	1038	0	V1_20180106	0
42	BOTH	151	Stomach	MSH2	1038	0	V1_20180106	0
43	BOTH	151	Stomach	MSH2	1038	0	V1_20180106	0
44	BOTH	151	Stomach	MSH2	1038	0	V1_20180106	0
45	BOTH	151	Stomach	MSH2	1022	1	V1_20180106	0.000978473581213307
46	BOTH	151	Stomach	MSH2	1022	1	V1_20180106	0.000978473581213307
47	BOTH	151	Stomach	MSH2	1022	1	V1_20180106	0.000978473581213307
48	BOTH	151	Stomach	MSH2	1022	1	V1_20180106	0.000978473581213307
49	BOTH	151	Stomach	MSH2	1022	1	V1_20180106	0.000978473581213307
50	BOTH	151	Stomach	MSH2	962	1	V1_20180106	0.00103950103950104
51	BOTH	151	Stomach	MSH2	962	1	V1_20180106	0.00103950103950104
52	BOTH	151	Stomach	MSH2	962	1	V1_20180106	0.00103950103950104
53	BOTH	151	Stomach	MSH2	962	1	V1_20180106	0.00103950103950104
54	BOTH	151	Stomach	MSH2	962	1	V1_20180106	0.00103950103950104
55	BOTH	151	Stomach	MSH2	850	1	V1_20180106	0.00117647058823529
56	BOTH	151	Stomach	MSH2	850	1	V1_20180106	0.00117647058823529
57	BOTH	151	Stomach	MSH2	850	1	V1_20180106	0.00117647058823529
